id,name,slot,rarity,file,description,artStatus,equipmentLayerAssetPath,previewAssetPath
colonial-field-breeches,Colonial Field Breeches,pants,common,assets/pants/01-colonial-field-breeches.png,"A pair of undyed linen knee breeches tied at the calf, practical for daily labor, travel, and life in an early Atlantic settlement.",preview,,assets/pants/01-colonial-field-breeches.png
sailors-canvas-slops,Sailor’s Canvas Slops,pants,common,assets/pants/02-sailors-canvas-slops.png,"Loose blue canvas slops with a buttoned fall front, made for sailors working the decks of merchant and fishing vessels.",preview,,assets/pants/02-sailors-canvas-slops.png
frontier-work-trousers,Frontier Work Trousers,pants,common,assets/pants/03-frontier-work-trousers.png,"Durable brown trousers built for rough paths, field work, and travel between coastal settlements and inland routes.",preview,,assets/pants/03-frontier-work-trousers.png
leather-riding-breeches,Leather Riding Breeches,pants,uncommon,assets/pants/04-leather-riding-breeches.png,"Supple leather knee breeches designed for riders, messengers, and surveyors who spent long days on horseback.",preview,,assets/pants/04-leather-riding-breeches.png
striped-dock-slops,Striped Dock Slops,pants,uncommon,assets/pants/05-striped-dock-slops.png,"Blue-and-cream striped work slops associated with port labor and maritime trade, cut wide for practical movement.",preview,,assets/pants/05-striped-dock-slops.png
homespun-wool-trousers,Homespun Wool Trousers,pants,common,assets/pants/06-homespun-wool-trousers.png,"Plain brown homespun trousers, mended and worn like those of a farmer, apprentice, or smallholder.",preview,,assets/pants/06-homespun-wool-trousers.png
white-linen-breeches,White Linen Breeches,pants,uncommon,assets/pants/07-white-linen-breeches.png,"Fresh white linen knee breeches with a formal cut, appropriate for a church service, civic meeting, or town celebration.",preview,,assets/pants/07-white-linen-breeches.png
indigo-trader-trousers,Indigo Trader Trousers,pants,uncommon,assets/pants/08-indigo-trader-trousers.png,"Deep indigo trousers with a sturdy buttoned front, fitting for a trader, ship’s clerk, or prosperous dockside merchant.",preview,,assets/pants/08-indigo-trader-trousers.png
travelers-road-breeches,Traveler’s Road Breeches,pants,common,assets/pants/09-travelers-road-breeches.png,"Hard-wearing road breeches in weathered brown cloth, made for long walks, wagon routes, and changing weather.",preview,,assets/pants/09-travelers-road-breeches.png
merchants-dress-trousers,Merchant’s Dress Trousers,pants,rare,assets/pants/10-merchants-dress-trousers.png,"Well-kept cream trousers with a tailored waist, suited to a merchant presenting goods, accounts, or correspondence in town.",preview,,assets/pants/10-merchants-dress-trousers.png
